	seq1	seq2	seq3	seq4	seq5	seq6	seq7	seq8	seq9	seq10	seq11	seq12	seq13	seq14	seq15	seq16	seq17	seq18	seq19	seq20	seq21	seq22	seq23	seq24	seq25	seq26	seq27	seq28	seq29	seq30	seq31	seq32	seq33	seq34	seq35	seq36	seq37	seq38	seq39	seq40	seq41	seq42	seq43	seq44	seq45	seq46	seq47	seq48	seq49	seq50	seq51	seq52	seq53	seq54	seq55	seq56	seq57	seq58	seq59	seq60	seq61	seq62	seq63	seq64	seq65	seq66	seq67	seq68	seq69	seq70	seq71	seq72	seq73	seq74	seq75	seq76	seq77	seq78	seq79	seq80	seq81	seq82	seq83	seq84	seq85	seq86	seq87	seq88	seq89	seq90	seq91	seq92	seq93	seq94	seq95	seq96	seq97	seq98	seq99	seq100
seq43	0.11904761904761904	0.3333333333333333	0.6428571428571429	0.30952380952380953	0.14285714285714285	0.6904761904761905	0.023809523809523808	0.11904761904761904	1.0	0.6904761904761905	0.14285714285714285	0.40476190476190477	0.8571428571428571	0.3333333333333333	0.09523809523809523	0.35714285714285715	0.09523809523809523	0.4523809523809524	1.0	0.0	1.0	0.6190476190476191	0.07142857142857142	0.4523809523809524	0.047619047619047616	1.0	0.19047619047619047	1.0	0.40476190476190477	0.11904761904761904	0.11904761904761904	0.35714285714285715	0.047619047619047616	0.09523809523809523	0.6666666666666666	0.09523809523809523	0.35714285714285715	0.7380952380952381	0.23809523809523808	0.3333333333333333	0.6428571428571429	0.09523809523809523	0.0	0.23809523809523808	0.047619047619047616	0.21428571428571427	0.35714285714285715	0.023809523809523808	0.4523809523809524	0.047619047619047616	0.023809523809523808	0.09523809523809523	0.42857142857142855	0.07142857142857142	0.9047619047619048	0.4523809523809524	1.0	0.047619047619047616	0.6190476190476191	0.11904761904761904	0.047619047619047616	0.09523809523809523	0.07142857142857142	0.09523809523809523	0.09523809523809523	1.0	0.09523809523809523	0.11904761904761904	0.3333333333333333	0.14285714285714285	1.0	1.0	0.3333333333333333	0.023809523809523808	0.14285714285714285	0.16666666666666666	0.16666666666666666	1.0	0.6666666666666666	1.0	0.07142857142857142	0.047619047619047616	0.6190476190476191	0.07142857142857142	0.14285714285714285	0.047619047619047616	0.38095238095238093	0.14285714285714285	1.0	1.0	0.6666666666666666	0.09523809523809523	0.9047619047619048	1.0	0.14285714285714285	0.38095238095238093	0.3333333333333333	1.0	0.2619047619047619	0.09523809523809523
seq44	0.3333333333333333	0.5238095238095238	0.6666666666666666	0.4523809523809524	0.23809523809523808	0.6428571428571429	0.2619047619047619	0.21428571428571427	0.9761904761904762	0.6428571428571429	0.19047619047619047	0.4523809523809524	0.8333333333333334	0.42857142857142855	0.23809523809523808	0.5714285714285714	0.23809523809523808	0.5952380952380952	0.9761904761904762	0.23809523809523808	0.9761904761904762	0.6190476190476191	0.2619047619047619	0.5714285714285714	0.2857142857142857	0.9761904761904762	0.35714285714285715	0.9761904761904762	0.6190476190476191	0.30952380952380953	0.2857142857142857	0.5	0.23809523809523808	0.19047619047619047	0.6666666666666666	0.30952380952380953	0.5238095238095238	0.7380952380952381	0.47619047619047616	0.5	0.6904761904761905	0.19047619047619047	0.23809523809523808	0.0	0.2857142857142857	0.42857142857142855	0.5714285714285714	0.2619047619047619	0.5952380952380952	0.2857142857142857	0.23809523809523808	0.2857142857142857	0.5952380952380952	0.30952380952380953	0.8809523809523809	0.6428571428571429	0.9761904761904762	0.23809523809523808	0.6190476190476191	0.30952380952380953	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.2857142857142857	0.23809523809523808	0.9761904761904762	0.2619047619047619	0.3333333333333333	0.42857142857142855	0.35714285714285715	0.9761904761904762	0.9761904761904762	0.5	0.2619047619047619	0.30952380952380953	0.38095238095238093	0.2619047619047619	0.9761904761904762	0.6666666666666666	0.9761904761904762	0.30952380952380953	0.23809523809523808	0.6666666666666666	0.2619047619047619	0.3333333333333333	0.19047619047619047	0.5476190476190477	0.30952380952380953	0.9761904761904762	0.9761904761904762	0.6428571428571429	0.19047619047619047	0.8809523809523809	0.9761904761904762	0.30952380952380953	0.5952380952380952	0.5476190476190477	0.9761904761904762	0.5	0.19047619047619047
seq45	0.16666666666666666	0.3333333333333333	0.6666666666666666	0.30952380952380953	0.14285714285714285	0.7142857142857143	0.023809523809523808	0.16666666666666666	1.0	0.7142857142857143	0.14285714285714285	0.40476190476190477	0.8571428571428571	0.3333333333333333	0.14285714285714285	0.38095238095238093	0.09523809523809523	0.47619047619047616	1.0	0.047619047619047616	1.0	0.5952380952380952	0.11904761904761904	0.42857142857142855	0.047619047619047616	1.0	0.21428571428571427	1.0	0.40476190476190477	0.14285714285714285	0.11904761904761904	0.40476190476190477	0.09523809523809523	0.09523809523809523	0.6904761904761905	0.11904761904761904	0.40476190476190477	0.7142857142857143	0.2857142857142857	0.3333333333333333	0.6666666666666666	0.14285714285714285	0.047619047619047616	0.2857142857142857	0.0	0.2619047619047619	0.40476190476190477	0.023809523809523808	0.47619047619047616	0.047619047619047616	0.07142857142857142	0.14285714285714285	0.4523809523809524	0.11904761904761904	0.9047619047619048	0.4523809523809524	1.0	0.047619047619047616	0.5952380952380952	0.11904761904761904	0.07142857142857142	0.09523809523809523	0.07142857142857142	0.09523809523809523	0.09523809523809523	1.0	0.14285714285714285	0.14285714285714285	0.38095238095238093	0.11904761904761904	1.0	1.0	0.2857142857142857	0.023809523809523808	0.14285714285714285	0.14285714285714285	0.16666666666666666	1.0	0.6904761904761905	1.0	0.023809523809523808	0.047619047619047616	0.6428571428571429	0.07142857142857142	0.14285714285714285	0.09523809523809523	0.38095238095238093	0.14285714285714285	1.0	1.0	0.6904761904761905	0.14285714285714285	0.9047619047619048	1.0	0.19047619047619047	0.35714285714285715	0.35714285714285715	1.0	0.2619047619047619	0.14285714285714285
seq46	0.23809523809523808	0.30952380952380953	0.5952380952380952	0.2857142857142857	0.3333333333333333	0.6190476190476191	0.23809523809523808	0.3333333333333333	0.8809523809523809	0.6190476190476191	0.30952380952380953	0.3333333333333333	0.7619047619047619	0.2857142857142857	0.2619047619047619	0.3333333333333333	0.30952380952380953	0.42857142857142855	0.8809523809523809	0.21428571428571427	0.8809523809523809	0.5476190476190477	0.2857142857142857	0.38095238095238093	0.23809523809523808	0.8809523809523809	0.30952380952380953	0.8809523809523809	0.2857142857142857	0.2857142857142857	0.30952380952380953	0.2857142857142857	0.23809523809523808	0.30952380952380953	0.6190476190476191	0.30952380952380953	0.2857142857142857	0.6904761904761905	0.21428571428571427	0.30952380952380953	0.5476190476190477	0.30952380952380953	0.21428571428571427	0.42857142857142855	0.2619047619047619	0.0	0.2857142857142857	0.23809523809523808	0.42857142857142855	0.23809523809523808	0.23809523809523808	0.23809523809523808	0.30952380952380953	0.21428571428571427	0.8095238095238095	0.35714285714285715	0.8809523809523809	0.2619047619047619	0.5476190476190477	0.2857142857142857	0.2619047619047619	0.2619047619047619	0.23809523809523808	0.2857142857142857	0.30952380952380953	0.8809523809523809	0.30952380952380953	0.2857142857142857	0.30952380952380953	0.2857142857142857	0.8809523809523809	0.8809523809523809	0.30952380952380953	0.23809523809523808	0.23809523809523808	0.30952380952380953	0.35714285714285715	0.8809523809523809	0.6190476190476191	0.8809523809523809	0.2857142857142857	0.23809523809523808	0.5714285714285714	0.2857142857142857	0.3333333333333333	0.23809523809523808	0.35714285714285715	0.3333333333333333	0.8809523809523809	0.8809523809523809	0.5952380952380952	0.30952380952380953	0.7857142857142857	0.8809523809523809	0.30952380952380953	0.30952380952380953	0.23809523809523808	0.8809523809523809	0.23809523809523808	0.2619047619047619
seq47	0.38095238095238093	0.16666666666666666	0.40476190476190477	0.21428571428571427	0.42857142857142855	0.42857142857142855	0.38095238095238093	0.42857142857142855	0.7142857142857143	0.42857142857142855	0.47619047619047616	0.2619047619047619	0.5714285714285714	0.19047619047619047	0.40476190476190477	0.14285714285714285	0.4523809523809524	0.23809523809523808	0.7142857142857143	0.35714285714285715	0.7142857142857143	0.38095238095238093	0.38095238095238093	0.23809523809523808	0.38095238095238093	0.7142857142857143	0.47619047619047616	0.7142857142857143	0.23809523809523808	0.42857142857142855	0.4523809523809524	0.14285714285714285	0.38095238095238093	0.4523809523809524	0.42857142857142855	0.42857142857142855	0.07142857142857142	0.47619047619047616	0.11904761904761904	0.19047619047619047	0.30952380952380953	0.4523809523809524	0.35714285714285715	0.5714285714285714	0.40476190476190477	0.2857142857142857	0.0	0.38095238095238093	0.23809523809523808	0.38095238095238093	0.38095238095238093	0.40476190476190477	0.19047619047619047	0.40476190476190477	0.6190476190476191	0.16666666666666666	0.7142857142857143	0.40476190476190477	0.38095238095238093	0.4523809523809524	0.40476190476190477	0.40476190476190477	0.38095238095238093	0.40476190476190477	0.42857142857142855	0.7142857142857143	0.40476190476190477	0.38095238095238093	0.16666666666666666	0.38095238095238093	0.7142857142857143	0.7142857142857143	0.21428571428571427	0.38095238095238093	0.4523809523809524	0.42857142857142855	0.5	0.7142857142857143	0.42857142857142855	0.7142857142857143	0.40476190476190477	0.38095238095238093	0.38095238095238093	0.40476190476190477	0.47619047619047616	0.38095238095238093	0.23809523809523808	0.42857142857142855	0.7142857142857143	0.7142857142857143	0.40476190476190477	0.4523809523809524	0.6190476190476191	0.7142857142857143	0.38095238095238093	0.14285714285714285	0.2857142857142857	0.7142857142857143	0.14285714285714285	0.40476190476190477
seq48	0.14285714285714285	0.30952380952380953	0.6666666666666666	0.3333333333333333	0.11904761904761904	0.7142857142857143	0.0	0.14285714285714285	1.0	0.7142857142857143	0.11904761904761904	0.38095238095238093	0.8571428571428571	0.30952380952380953	0.11904761904761904	0.38095238095238093	0.07142857142857142	0.47619047619047616	1.0	0.023809523809523808	1.0	0.5952380952380952	0.09523809523809523	0.42857142857142855	0.023809523809523808	1.0	0.19047619047619047	1.0	0.42857142857142855	0.11904761904761904	0.09523809523809523	0.38095238095238093	0.07142857142857142	0.07142857142857142	0.6904761904761905	0.09523809523809523	0.38095238095238093	0.7142857142857143	0.2619047619047619	0.30952380952380953	0.6666666666666666	0.11904761904761904	0.023809523809523808	0.2619047619047619	0.023809523809523808	0.23809523809523808	0.38095238095238093	0.0	0.47619047619047616	0.023809523809523808	0.047619047619047616	0.11904761904761904	0.4523809523809524	0.09523809523809523	0.9047619047619048	0.4523809523809524	1.0	0.07142857142857142	0.5952380952380952	0.09523809523809523	0.047619047619047616	0.07142857142857142	0.09523809523809523	0.11904761904761904	0.11904761904761904	1.0	0.11904761904761904	0.11904761904761904	0.35714285714285715	0.14285714285714285	1.0	1.0	0.30952380952380953	0.0	0.16666666666666666	0.16666666666666666	0.14285714285714285	1.0	0.6904761904761905	1.0	0.047619047619047616	0.07142857142857142	0.6428571428571429	0.09523809523809523	0.16666666666666666	0.07142857142857142	0.40476190476190477	0.11904761904761904	1.0	1.0	0.6904761904761905	0.11904761904761904	0.9047619047619048	1.0	0.16666666666666666	0.38095238095238093	0.3333333333333333	1.0	0.2857142857142857	0.11904761904761904
seq49	0.5	0.2619047619047619	0.19047619047619047	0.2857142857142857	0.5476190476190477	0.23809523809523808	0.47619047619047616	0.5	0.5476190476190477	0.23809523809523808	0.5952380952380952	0.38095238095238093	0.40476190476190477	0.30952380952380953	0.5238095238095238	0.14285714285714285	0.5476190476190477	0.0	0.5476190476190477	0.4523809523809524	0.5476190476190477	0.16666666666666666	0.47619047619047616	0.19047619047619047	0.47619047619047616	0.5476190476190477	0.5714285714285714	0.5476190476190477	0.3333333333333333	0.5476190476190477	0.5476190476190477	0.23809523809523808	0.5	0.5476190476190477	0.21428571428571427	0.5	0.23809523809523808	0.2857142857142857	0.21428571428571427	0.2857142857142857	0.38095238095238093	0.5476190476190477	0.4523809523809524	0.5952380952380952	0.47619047619047616	0.42857142857142855	0.23809523809523808	0.47619047619047616	0.0	0.47619047619047616	0.4523809523809524	0.5238095238095238	0.2619047619047619	0.47619047619047616	0.4523809523809524	0.2619047619047619	0.5476190476190477	0.47619047619047616	0.16666666666666666	0.5476190476190477	0.47619047619047616	0.5476190476190477	0.47619047619047616	0.47619047619047616	0.5	0.5476190476190477	0.5	0.5476190476190477	0.2619047619047619	0.5238095238095238	0.5476190476190477	0.5476190476190477	0.2857142857142857	0.47619047619047616	0.5714285714285714	0.5714285714285714	0.5952380952380952	0.5476190476190477	0.21428571428571427	0.5476190476190477	0.47619047619047616	0.47619047619047616	0.16666666666666666	0.47619047619047616	0.5238095238095238	0.47619047619047616	0.30952380952380953	0.5238095238095238	0.5476190476190477	0.5476190476190477	0.21428571428571427	0.5476190476190477	0.4523809523809524	0.5476190476190477	0.5238095238095238	0.2857142857142857	0.4523809523809524	0.5476190476190477	0.21428571428571427	0.5238095238095238
seq50	0.11904761904761904	0.30952380952380953	0.6666666666666666	0.3333333333333333	0.14285714285714285	0.7142857142857143	0.023809523809523808	0.16666666666666666	1.0	0.7142857142857143	0.14285714285714285	0.38095238095238093	0.8571428571428571	0.30952380952380953	0.09523809523809523	0.38095238095238093	0.09523809523809523	0.47619047619047616	1.0	0.047619047619047616	1.0	0.5952380952380952	0.11904761904761904	0.42857142857142855	0.0	1.0	0.16666666666666666	1.0	0.42857142857142855	0.14285714285714285	0.07142857142857142	0.38095238095238093	0.09523809523809523	0.09523809523809523	0.6904761904761905	0.11904761904761904	0.38095238095238093	0.7142857142857143	0.2619047619047619	0.30952380952380953	0.6666666666666666	0.14285714285714285	0.047619047619047616	0.2857142857142857	0.047619047619047616	0.23809523809523808	0.38095238095238093	0.023809523809523808	0.47619047619047616	0.0	0.07142857142857142	0.14285714285714285	0.4523809523809524	0.07142857142857142	0.9047619047619048	0.4523809523809524	1.0	0.09523809523809523	0.5952380952380952	0.11904761904761904	0.07142857142857142	0.09523809523809523	0.11904761904761904	0.14285714285714285	0.14285714285714285	1.0	0.14285714285714285	0.14285714285714285	0.35714285714285715	0.16666666666666666	1.0	1.0	0.30952380952380953	0.023809523809523808	0.19047619047619047	0.19047619047619047	0.11904761904761904	1.0	0.6904761904761905	1.0	0.07142857142857142	0.09523809523809523	0.6428571428571429	0.11904761904761904	0.19047619047619047	0.09523809523809523	0.40476190476190477	0.09523809523809523	1.0	1.0	0.6904761904761905	0.14285714285714285	0.9047619047619048	1.0	0.14285714285714285	0.38095238095238093	0.3333333333333333	1.0	0.2857142857142857	0.09523809523809523
seq51	0.14285714285714285	0.35714285714285715	0.6428571428571429	0.3333333333333333	0.16666666666666666	0.6904761904761905	0.047619047619047616	0.14285714285714285	1.0	0.6904761904761905	0.16666666666666666	0.42857142857142855	0.8571428571428571	0.35714285714285715	0.11904761904761904	0.38095238095238093	0.11904761904761904	0.4523809523809524	1.0	0.023809523809523808	1.0	0.6190476190476191	0.09523809523809523	0.47619047619047616	0.07142857142857142	1.0	0.21428571428571427	1.0	0.42857142857142855	0.14285714285714285	0.14285714285714285	0.38095238095238093	0.07142857142857142	0.11904761904761904	0.6666666666666666	0.11904761904761904	0.38095238095238093	0.7380952380952381	0.2619047619047619	0.35714285714285715	0.6666666666666666	0.11904761904761904	0.023809523809523808	0.23809523809523808	0.07142857142857142	0.23809523809523808	0.38095238095238093	0.047619047619047616	0.4523809523809524	0.07142857142857142	0.0	0.11904761904761904	0.4523809523809524	0.09523809523809523	0.9047619047619048	0.42857142857142855	1.0	0.07142857142857142	0.6190476190476191	0.14285714285714285	0.07142857142857142	0.11904761904761904	0.09523809523809523	0.11904761904761904	0.11904761904761904	1.0	0.11904761904761904	0.14285714285714285	0.35714285714285715	0.16666666666666666	1.0	1.0	0.35714285714285715	0.047619047619047616	0.16666666666666666	0.19047619047619047	0.19047619047619047	1.0	0.6666666666666666	1.0	0.09523809523809523	0.07142857142857142	0.6190476190476191	0.09523809523809523	0.16666666666666666	0.07142857142857142	0.40476190476190477	0.16666666666666666	1.0	1.0	0.6666666666666666	0.11904761904761904	0.9047619047619048	1.0	0.16666666666666666	0.40476190476190477	0.35714285714285715	1.0	0.2857142857142857	0.11904761904761904
seq52	0.16666666666666666	0.42857142857142855	0.6904761904761905	0.40476190476190477	0.19047619047619047	0.6904761904761905	0.11904761904761904	0.21428571428571427	1.0	0.6904761904761905	0.16666666666666666	0.42857142857142855	0.8571428571428571	0.38095238095238093	0.14285714285714285	0.42857142857142855	0.19047619047619047	0.5238095238095238	1.0	0.09523809523809523	1.0	0.6428571428571429	0.16666666666666666	0.47619047619047616	0.14285714285714285	1.0	0.23809523809523808	1.0	0.4523809523809524	0.16666666666666666	0.21428571428571427	0.40476190476190477	0.09523809523809523	0.19047619047619047	0.7142857142857143	0.14285714285714285	0.40476190476190477	0.7619047619047619	0.3333333333333333	0.42857142857142855	0.6428571428571429	0.19047619047619047	0.09523809523809523	0.2857142857142857	0.14285714285714285	0.23809523809523808	0.40476190476190477	0.11904761904761904	0.5238095238095238	0.14285714285714285	0.11904761904761904	0.0	0.42857142857142855	0.11904761904761904	0.9047619047619048	0.5	1.0	0.14285714285714285	0.6428571428571429	0.14285714285714285	0.09523809523809523	0.16666666666666666	0.11904761904761904	0.11904761904761904	0.19047619047619047	1.0	0.19047619047619047	0.16666666666666666	0.42857142857142855	0.19047619047619047	1.0	1.0	0.42857142857142855	0.11904761904761904	0.16666666666666666	0.21428571428571427	0.2619047619047619	1.0	0.7142857142857143	1.0	0.16666666666666666	0.09523809523809523	0.6666666666666666	0.16666666666666666	0.23809523809523808	0.09523809523809523	0.47619047619047616	0.23809523809523808	1.0	1.0	0.6666666666666666	0.19047619047619047	0.9047619047619048	1.0	0.19047619047619047	0.42857142857142855	0.38095238095238093	1.0	0.35714285714285715	0.14285714285714285
seq53	0.47619047619047616	0.19047619047619047	0.40476190476190477	0.19047619047619047	0.4523809523809524	0.42857142857142855	0.4523809523809524	0.42857142857142855	0.6904761904761905	0.42857142857142855	0.47619047619047616	0.2619047619047619	0.5476190476190477	0.21428571428571427	0.5	0.11904761904761904	0.47619047619047616	0.2619047619047619	0.6904761904761905	0.42857142857142855	0.6904761904761905	0.3333333333333333	0.40476190476190477	0.16666666666666666	0.4523809523809524	0.6904761904761905	0.42857142857142855	0.6904761904761905	0.21428571428571427	0.5	0.47619047619047616	0.09523809523809523	0.47619047619047616	0.4523809523809524	0.40476190476190477	0.4523809523809524	0.14285714285714285	0.4523809523809524	0.19047619047619047	0.16666666666666666	0.3333333333333333	0.4523809523809524	0.42857142857142855	0.5952380952380952	0.4523809523809524	0.30952380952380953	0.19047619047619047	0.4523809523809524	0.2619047619047619	0.4523809523809524	0.4523809523809524	0.42857142857142855	0.0	0.42857142857142855	0.5952380952380952	0.21428571428571427	0.6904761904761905	0.42857142857142855	0.3333333333333333	0.5238095238095238	0.47619047619047616	0.47619047619047616	0.47619047619047616	0.47619047619047616	0.40476190476190477	0.6904761904761905	0.42857142857142855	0.5	0.16666666666666666	0.47619047619047616	0.6904761904761905	0.6904761904761905	0.16666666666666666	0.4523809523809524	0.47619047619047616	0.5	0.5	0.6904761904761905	0.40476190476190477	0.6904761904761905	0.4523809523809524	0.4523809523809524	0.40476190476190477	0.40476190476190477	0.4523809523809524	0.47619047619047616	0.23809523809523808	0.4523809523809524	0.6904761904761905	0.6904761904761905	0.40476190476190477	0.4523809523809524	0.5952380952380952	0.6904761904761905	0.42857142857142855	0.23809523809523808	0.38095238095238093	0.6904761904761905	0.19047619047619047	0.47619047619047616
seq54	0.14285714285714285	0.38095238095238093	0.6428571428571429	0.35714285714285715	0.21428571428571427	0.6904761904761905	0.09523809523809523	0.19047619047619047	1.0	0.6904761904761905	0.19047619047619047	0.42857142857142855	0.8571428571428571	0.38095238095238093	0.11904761904761904	0.40476190476190477	0.16666666666666666	0.47619047619047616	1.0	0.07142857142857142	1.0	0.5952380952380952	0.14285714285714285	0.4523809523809524	0.07142857142857142	1.0	0.16666666666666666	1.0	0.4523809523809524	0.19047619047619047	0.14285714285714285	0.35714285714285715	0.11904761904761904	0.16666666666666666	0.6666666666666666	0.16666666666666666	0.40476190476190477	0.7380952380952381	0.2857142857142857	0.38095238095238093	0.6428571428571429	0.16666666666666666	0.07142857142857142	0.30952380952380953	0.11904761904761904	0.21428571428571427	0.40476190476190477	0.09523809523809523	0.47619047619047616	0.07142857142857142	0.09523809523809523	0.11904761904761904	0.42857142857142855	0.0	0.9047619047619048	0.5	1.0	0.11904761904761904	0.5952380952380952	0.19047619047619047	0.11904761904761904	0.16666666666666666	0.14285714285714285	0.16666666666666666	0.16666666666666666	1.0	0.16666666666666666	0.19047619047619047	0.38095238095238093	0.21428571428571427	1.0	1.0	0.38095238095238093	0.09523809523809523	0.16666666666666666	0.23809523809523808	0.19047619047619047	1.0	0.6666666666666666	1.0	0.14285714285714285	0.11904761904761904	0.6190476190476191	0.14285714285714285	0.21428571428571427	0.11904761904761904	0.42857142857142855	0.16666666666666666	1.0	1.0	0.6666666666666666	0.16666666666666666	0.9047619047619048	1.0	0.16666666666666666	0.42857142857142855	0.38095238095238093	1.0	0.30952380952380953	0.11904761904761904
seq55	0.9047619047619048	0.6666666666666666	0.2619047619047619	0.6904761904761905	0.9047619047619048	0.23809523809523808	0.9047619047619048	0.9047619047619048	0.16666666666666666	0.23809523809523808	0.9047619047619048	0.6666666666666666	0.07142857142857142	0.6666666666666666	0.9047619047619048	0.5714285714285714	0.9047619047619048	0.4523809523809524	0.16666666666666666	0.9047619047619048	0.16666666666666666	0.35714285714285715	0.9047619047619048	0.5476190476190477	0.9047619047619048	0.16666666666666666	0.9047619047619048	0.16666666666666666	0.6904761904761905	0.9047619047619048	0.9047619047619048	0.6190476190476191	0.9047619047619048	0.9047619047619048	0.23809523809523808	0.9047619047619048	0.6190476190476191	0.19047619047619047	0.6666666666666666	0.6666666666666666	0.5476190476190477	0.9047619047619048	0.9047619047619048	0.8809523809523809	0.9047619047619048	0.8095238095238095	0.6190476190476191	0.9047619047619048	0.4523809523809524	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.5952380952380952	0.9047619047619048	0.0	0.5952380952380952	0.16666666666666666	0.9047619047619048	0.35714285714285715	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.16666666666666666	0.9047619047619048	0.9047619047619048	0.6428571428571429	0.9047619047619048	0.16666666666666666	0.16666666666666666	0.6666666666666666	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.9047619047619048	0.16666666666666666	0.23809523809523808	0.16666666666666666	0.9047619047619048	0.9047619047619048	0.2857142857142857	0.9047619047619048	0.8809523809523809	0.9047619047619048	0.6666666666666666	0.9047619047619048	0.16666666666666666	0.16666666666666666	0.2857142857142857	0.9047619047619048	0.09523809523809523	0.16666666666666666	0.9047619047619048	0.6428571428571429	0.7619047619047619	0.16666666666666666	0.6666666666666666	0.9047619047619048
seq56	0.4523809523809524	0.23809523809523808	0.4523809523809524	0.2857142857142857	0.5	0.47619047619047616	0.4523809523809524	0.5238095238095238	0.6904761904761905	0.47619047619047616	0.5476190476190477	0.3333333333333333	0.5476190476190477	0.2619047619047619	0.4523809523809524	0.19047619047619047	0.5238095238095238	0.2619047619047619	0.6904761904761905	0.4523809523809524	0.6904761904761905	0.40476190476190477	0.47619047619047616	0.2619047619047619	0.4523809523809524	0.6904761904761905	0.47619047619047616	0.6904761904761905	0.2857142857142857	0.47619047619047616	0.5238095238095238	0.23809523809523808	0.42857142857142855	0.5238095238095238	0.47619047619047616	0.47619047619047616	0.14285714285714285	0.5	0.21428571428571427	0.2619047619047619	0.35714285714285715	0.5476190476190477	0.4523809523809524	0.6428571428571429	0.4523809523809524	0.35714285714285715	0.16666666666666666	0.4523809523809524	0.2619047619047619	0.4523809523809524	0.42857142857142855	0.5	0.21428571428571427	0.5	0.5952380952380952	0.0	0.6904761904761905	0.47619047619047616	0.40476190476190477	0.4523809523809524	0.47619047619047616	0.47619047619047616	0.4523809523809524	0.47619047619047616	0.5	0.6904761904761905	0.5	0.35714285714285715	0.2619047619047619	0.38095238095238093	0.6904761904761905	0.6904761904761905	0.2619047619047619	0.4523809523809524	0.42857142857142855	0.3333333333333333	0.5714285714285714	0.6904761904761905	0.47619047619047616	0.6904761904761905	0.4523809523809524	0.4523809523809524	0.42857142857142855	0.47619047619047616	0.5	0.47619047619047616	0.2619047619047619	0.5	0.6904761904761905	0.6904761904761905	0.4523809523809524	0.5476190476190477	0.5952380952380952	0.6904761904761905	0.4523809523809524	0.09523809523809523	0.21428571428571427	0.6904761904761905	0.21428571428571427	0.5
seq57	1.0	0.7619047619047619	0.35714285714285715	0.7857142857142857	1.0	0.3333333333333333	1.0	1.0	0.0	0.3333333333333333	1.0	0.7619047619047619	0.14285714285714285	0.7619047619047619	1.0	0.6666666666666666	1.0	0.5476190476190477	0.0	1.0	0.0	0.4523809523809524	1.0	0.6428571428571429	1.0	0.0	1.0	0.0	0.7619047619047619	1.0	1.0	0.7142857142857143	1.0	1.0	0.3333333333333333	1.0	0.7142857142857143	0.2857142857142857	0.7619047619047619	0.7619047619047619	0.6666666666666666	1.0	1.0	0.9761904761904762	1.0	0.8809523809523809	0.7142857142857143	1.0	0.5476190476190477	1.0	1.0	1.0	0.6904761904761905	1.0	0.16666666666666666	0.6904761904761905	0.0	1.0	0.4523809523809524	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.7380952380952381	1.0	0.0	0.0	0.7619047619047619	1.0	1.0	1.0	1.0	0.0	0.3333333333333333	0.0	1.0	1.0	0.38095238095238093	1.0	1.0	1.0	0.7619047619047619	1.0	0.0	0.0	0.38095238095238093	1.0	0.11904761904761904	0.0	1.0	0.7380952380952381	0.8571428571428571	0.0	0.7619047619047619	1.0
seq58	0.16666666666666666	0.38095238095238093	0.6666666666666666	0.2619047619047619	0.14285714285714285	0.6904761904761905	0.07142857142857142	0.11904761904761904	1.0	0.6904761904761905	0.14285714285714285	0.40476190476190477	0.8571428571428571	0.3333333333333333	0.14285714285714285	0.35714285714285715	0.14285714285714285	0.47619047619047616	1.0	0.047619047619047616	1.0	0.6428571428571429	0.11904761904761904	0.47619047619047616	0.09523809523809523	1.0	0.23809523809523808	1.0	0.40476190476190477	0.14285714285714285	0.16666666666666666	0.35714285714285715	0.09523809523809523	0.09523809523809523	0.6666666666666666	0.11904761904761904	0.40476190476190477	0.7380952380952381	0.2857142857142857	0.35714285714285715	0.6428571428571429	0.09523809523809523	0.047619047619047616	0.23809523809523808	0.047619047619047616	0.2619047619047619	0.40476190476190477	0.07142857142857142	0.47619047619047616	0.09523809523809523	0.07142857142857142	0.14285714285714285	0.42857142857142855	0.11904761904761904	0.9047619047619048	0.47619047619047616	1.0	0.0	0.6428571428571429	0.16666666666666666	0.09523809523809523	0.11904761904761904	0.07142857142857142	0.09523809523809523	0.047619047619047616	1.0	0.14285714285714285	0.16666666666666666	0.3333333333333333	0.14285714285714285	1.0	1.0	0.30952380952380953	0.07142857142857142	0.14285714285714285	0.16666666666666666	0.16666666666666666	1.0	0.6666666666666666	1.0	0.07142857142857142	0.047619047619047616	0.6428571428571429	0.07142857142857142	0.11904761904761904	0.09523809523809523	0.3333333333333333	0.19047619047619047	1.0	1.0	0.6666666666666666	0.09523809523809523	0.9047619047619048	1.0	0.19047619047619047	0.38095238095238093	0.38095238095238093	1.0	0.2619047619047619	0.09523809523809523
